Sl. No.,States/UTs,2016 - DTV,2016 - FTV,2017 - DTV,2017 - FTV,2018 (Revised) - DTV,2018 (Revised) - FTV
1,Andaman & Nicobar Islands,384552,15466,471919,15313,498279,15242
2,Andhra Pradesh,153163354,341764,165433898,271362,194767874,281083
3,Arunachal Pradesh,385875,6598,444005,7147,512436,7653
4,Assam,5160599,19456,6052667,21760,5856282,36846
5,Bihar,28516127,1010531,32414063,1082705,33621613,1087971
6,Chandigarh,1182504,31549,1425781,31832,1538796,39681
7,Chhattisgarh,16534471,9220,17350030,6701,19329501,14399
8,Dadra & Nagar Haveli,589074,1891,614182,1908,609435,1608
9,Daman & Diu,826201,5669,858131,5535,898824,5694
10,Delhi *,28460832,2520083,29114423,2740502,29114423,2740502
11,Goa,5650061,680683,6895234,842220,7081559,933841
12,Gujarat,42252909,343752,48343121,448853,54369873,513113
13,Haryana,7382995,331291,6050325,193381,4888952,73977
14,Himachal Pradesh,17997750,452770,19130541,470992,16093935,356568
15,Jammu & Kashmir,9414579,63207,14235473,79765,17076315,139520
16,Jharkhand,33389286,169442,33723185,170987,35408822,175801
17,Karnataka,129762600,461752,179980191,498148,214306456,543716
18,Kerala,13172536,1038419,14673520,1091870,15604661,1096407
19,Lakshadweep,8716,753,6620,1027,10435,1313
20,Madhya Pradesh,150490339,363195,78038522,359119,83969799,375476
21,Maharashtra*,116515801,4670049,119191539,5078514,119191539,5078514
22,Manipur,150638,3064,153454,3497,176109,6391
23,Meghalaya,830887,8476,990856,12051,1198340,18114
24,Mizoram,67238,942,67772,1155,76551,967
25,Nagaland,58178,3260,63362,4166,101588,5010
26,Odisha,12842766,76361,14011229,100014,15208540,110818
27,Puducherry,1398289,117437,1531972,131407,1616660,141133
28,Punjab,38703326,659736,40293352,1108635,44595061,1200969
29,Rajasthan,41495115,1513729,45916573,1609963,50235643,1754348
30,Sikkim,747343,66012,1375854,49111,1426127,71172
31,Tamil Nadu,343812413,4721978,345061140,4860455,385909376,6074345
32,Tripura,370618,36780,398669,69899,414388,102861
33,Telengana,95160830,166570,85266596,251846,92878329,318154
34,Uttar Pradesh,213544204,3156812,233977619,3556204,285079848,3780752
35,Uttarakhand,30505363,117106,34359989,133725,35609650,151320
36,West Bengal,74460250,1528700,79630345,1574915,85657365,1617105
